City,County,State,Population Count,Status,Submission Method,Contact Value,Notes,Method,Date Submitted,Status,Notes,
Wildomar,Riverside,California,"36,875",Fulfilled,portal_url,https://www.wildomar.gov/formcenter/general-forms-4/public-records-request-online-form-50,City online form,Manual,1/28/2026,Fulfilled,FormCenter,
Beaumont,Riverside,California,"53,036",,portal_url,https://beaumontpd.org/forms.aspx?fid=99,City-hosted CPRA form,Manual,1/28/2026,Sent,FormCenter,
Eastvale,Riverside,California,"69,757",,portal_url,https://eastvaleca.govqa.us/WEBAPP/_rs/supporthome.aspx,GovQA portal,Manual,1/28/2026,Fulfilled,R000032-012826,
Indio,Riverside,California,"89,137",,portal_url,https://indioca-energovweb.tylerhost.net/apps/SelfService#/search,GovQA portal,Scraped,1/28/2026,Fulfilled,Data can be downloaded through the link,
Jurupa Valley,Riverside,California,"105,053",Fulfilled,portal_url,https://jurupavalleyca.govqa.us/WEBAPP/_rs/supporthome.aspx,GovQA portal,Manual,1/28/2026,Fulfilled,R000057-012826,
Menifee,Riverside,California,"112,546",Fulfilled,portal_url,https://cityofmenifeeca.nextrequest.com/requests,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-71,
Murrieta,Riverside,California,"110,949",Fulfilled,portal_url,https://murrietaca.govqa.us/WEBAPP/_rs/(S(nmfjebomgstaqbs0pjs1ck5v))/SupportHome.aspx,OnBase records portal,Manual,1/28/2026,Fulfilled,W007828-012826,
Norco,Riverside,California,"27,063",,portal_url,https://norco.civicweb.net/Portal/CitizenEngagement.aspx,CivicWeb portal,Manual,1/28/2026,Fulfilled,tracking number is: 7F3EFF46,
Palm Desert,Riverside,California,"52,084",Fulfilled,portal_url,https://palmdesertca.govqa.us/WEBAPP/_rs/supporthome.aspx,GovQA portal,Manual,1/28/2026,Fulfilled,R001340-012826,
Perris,Riverside,California,"78,700",,portal_url,https://cityofperrisca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,NextRequest,
Encinitas,San Diego,California,"62,007",Sent,portal_url,https://encinitasca.mycusthelp.com/WEBAPP/_rs/supporthome.aspx,GovQA/MyCustHelp portal,Manual,1/28/2026,Fulfilled,W007595-012826,
National City,San Diego,California,"56,173",,portal_url,https://cityofnationalcityca.nextrequest.com/,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-69,
San Diego,San Diego,California,"1,386,932",,portal_url,https://aca-prod.accela.com/SANDIEGO,City NextRequest portal,Scraped,1/28/2026,Fulfilled,Request 26-1015,
San Diego County,San Diego County,California,"3,298,634",,portal_url,https://pra.sandiegocounty.gov/requests/new,County PRA portal,Manual,1/28/2026,Sent,NextRequest,
Carlsbad,San Diego,California,"115,382",,portal_url,https://www.carlsbadca.gov/city-hall/clerk-services/city-records/request-public-records,City CPRA page,Manual,1/28/2026,Fulfilled,R005681-012826,
El Cajon,San Diego,California,"106,215",,portal_url,https://www.elcajon.gov/your-government/departments/city-clerk/public-records,City Clerk records page,Manual,1/28/2026,Sent,CustomPortal,
Escondido,San Diego,California,"151,038",,portal_url,https://cityofescondidoca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-142,
Imperial Beach,San Diego,California,"26,137",,portal_url,https://cityofimperialbeachca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-20,
La Mesa,San Diego,California,"60,136",,portal_url,https://la-mesa-ca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-67,
Lemon Grove,San Diego,California,"27,627",,portal_url,https://cityoflemongroveca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-33,
Oceanside,San Diego,California,"174,068",,portal_url,https://cityofoceansideca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-149,
Poway,San Diego,California,"48,841",,portal_url,https://services.poway.org/EnerGov_Prod/SelfService#/report,City web form,Scraped,1/28/2026,Fulfilled,FormCenter,
San Marcos,San Diego,California,"94,833",,portal_url,https://sanmarcosca.justfoia.com/publicportal,JustFOIA portal,Manual,1/28/2026,Sent,PRA-2026-64 and your security key is C50E9C39.,
Santee,San Diego,California,"57,947",,email,clerk@cityofsanteeca.gov,City Clerk PRR page,Manual,1/28/2026,Sent,Email,
Vista,San Diego,California,"98,381",,portal_url,https://www.vista.gov/city-hall/city-clerk/public-records-request,City PRR page,Manual,1/28/2026,Fulfilled,Laserfiche,
Lodi,San Joaquin,California,"66,348",Sent,portal_url,https://www.lodi.gov/forms.aspx?fid=62,City PRA form,Manual,1/28/2026,Sent,FormCenter,
Manteca,San Joaquin,California,"83,498",,portal_url,https://cityofmanteca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Sent,Request 26-36,
Stockton,San Joaquin,California,"320,804",,portal_url,https://user.govoutreach.com/stockton/faq.php?cmd=shell&goparms=cid%3D3412,City PRR page,Manual,1/28/2026,Fulfilled,request is # 10215367,
Tracy,San Joaquin,California,"93,773",,portal_url,https://cityoftracy.nextrequest.com/,City PRR page,Manual,1/28/2026,Fulfilled,Request 26-89,
San Joaquin County,San Joaquin,California,"779,233",Sent,portal_url,https://www.sjgov.org/department/cob/public-records-request,County PRR page,PDF Form,1/28/2026,Fulfilled,PDF + Email,
Atascadero,San Luis Obispo,California,"30,418",,portal_url,https://www.atascadero.org/government/city-clerk/public-records-request,City PRR page,Manual,1/28/2026,Fulfilled,CustomPortal,
San Luis Obispo,San Luis Obispo,California,"48,983",,portal_url,https://www.slocity.org/home/showpublisheddocument/4589/638189035184070000,City records page,PDF Form,1/28/2026,Fulfilled,PDF + Email,
Belmont,San Mateo,California,"27,585",,portal_url,https://belmontca.govqa.us/WEBAPP/_rs/(S(zn5ffdnh4o2v5cg2sl1wbqmk))/SupportHome.aspx,City PRR page,Manual,1/28/2026,Sent,R000363-012826,
Burlingame,San Mateo,California,"43,093",Sent,portal_url,https://burweblink.burlingame.org/Forms/publicrecords,BurWeb form,Manual,1/28/2026,Sent,CustomPortal,
Daly City,San Mateo,California,"104,901",,portal_url,https://dalyci.seamlessdocs.com/f/PublicRecordsRequest,SeamlessDocs form,Manual,1/28/2026,Sent,CustomPortal,
East Palo Alto,San Mateo,California,"33,262",Sent,portal_url,https://cityofeastpaloaltoca.nextrequest.com/,City PRR PDF,Manual,1/28/2026,Sent,Request 26-38,
Foster City,San Mateo,California,"33,021",,portal_url,https://fostercityca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-31,
Menlo Park,San Mateo,California,"39,784",,portal_url,https://menloparkca.mycusthelp.com/WEBAPP/_rs/(S(3t2tfg1wwfgtmv5caksj4kva))/SupportHome.aspx,City PRR page,Manual,1/28/2026,Sent,P003162-012826,
Pacifica,San Mateo,California,"37,234",,portal_url,https://cityofpacificaca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-40,
Redwood City,San Mateo,California,"85,956",Sent,portal_url,https://redwoodcity.nextrequest.com/,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-68,
San Bruno,San Mateo,California,"43,760",Sent,portal_url,https://www.sanbruno.ca.gov/214/Public-Records-Request,City PRR page,PDF Form,1/28/2026,Sent,PDF + Email,
San Carlos,San Mateo,California,"29,051",Sent,portal_url,https://cityofsancarlos-ca.nextrequest.com/,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-38,
San Mateo,San Mateo,California,"105,661",,portal,https://sanmateoca.mycusthelp.com/WEBAPP/_rs/(S(ni0skcmrihyc14rvdmnz1jyw))/supporthome.aspx,City Clerk email,Manual,1/28/2026,Sent,W012056-012826,
South San Francisco,San Mateo,California,"66,105",Sent,portal,https://southsanfranciscoca.mycusthelp.com/WEBAPP/_rs/(S(3wblvsazui3s0tu5deik2pjf))/SupportHome.aspx,City Clerk email,Manual,1/28/2026,Fulfilled,R019299-012826,
San Mateo County,San Mateo County,California,"764,442",,pdf_form,https://www.smcgov.org/media/167841/download?inline,County PRA PDF,PDF Form,1/28/2026,Fulfilled,PDF + Email,
Goleta,Santa Barbara,California,"30,037",,portal_url,https://www.cityofgoleta.org/your-city/city-clerk/recognition-policy-and-requests/public-records-request-form,StreamlineGov portal,Manual,1/28/2026,Fulfilled,R000043-012826,
Lompoc,Santa Barbara,California,"43,093",,public_records_email,s_haddon@ci.lompoc.ca.us,City Clerk email,Manual,1/28/2026,Sent,Email,
Santa Barbara,Santa Barbara,California,"88,665",,portal_url,https://santabarbara.streamlinegov.us/,StreamlineGov portal,Manual,1/28/2026,Sent,CustomPortal,
Santa Maria,Santa Barbara,California,"107,612",Sent,public_records_email,cityclerk@santamariaca.gov,City Clerk email,Manual,1/28/2026,Fulfilled,R000043-012826,
Santa Barbara County,Santa Barbara County,California,"446,499",,portal_url,https://santabarbaracountyca.govqa.us/WEBAPP/_rs/(S(ivcdvwe52sinhg5fqashdtyx))/RequestLogin.aspx?sSessionID=&rqst=1&target=YpURA3m6cNU+N1K9kEqQhqz8yC2ZLKNdSdB4wnowVJ5S8CGTBp2GIItHg4/I0pUM8Jvp1AAd4YheCcTrA795fG9P3xL5LmB/wFQjiIoSWN7tLnJa+Bm/oEirHbO2IQAI,County Public Records page,Manual,1/28/2026,Fulfilled,R015065-012826,
Campbell,Santa Clara,California,"43,959",,public_records_email,https://campbellca.govqa.us/WEBAPP/_rs/(S(hxz0zqudpdfn2fokk0zqsk0v))/supporthome.aspx,City Clerk email,Manual,1/28/2026,Fulfilled,C000024-012826,
Cupertino,Santa Clara,California,"60,381",,portal_url,https://cityofcupertinoca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-34,
Gilroy,Santa Clara,California,"58,922",,portal_url,https://gilroy.streamlinegov.us/,StreamlineGov portal,Manual,1/28/2026,Sent,Request 26-33,
Los Altos,Santa Clara,California,"31,625",Sent,portal_url,https://losaltosca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-46,
Los Gatos,Santa Clara,California,"33,529",Sent,portal_url,https://losgatosca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request #26-35,
Mountain View,Santa Clara,California,"82,376",,portal_url,https://cityofmountainviewca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-243,
Palo Alto,Santa Clara,California,"68,572",Sent,portal_url,https://paloaltoca.mycusthelp.com/webapp/_rs/(S(cv4ge514hamw4qhev33prb2e))/supporthome.aspx,City PRR page,Manual,1/28/2026,Fulfilled,W007388-012826,
San Jose,Santa Clara,California,"1,013,240",,public_records_email,https://sanjoseca.govqa.us/WEBAPP/_rs/(S(yhxwinrummrrt0soj4fsf2u5))/supporthome.aspx,City Clerk email,Manual,1/28/2026,Fulfilled,R011259-012826,
Santa Clara,Santa Clara,California,"127,647",,portal_url,https://santaclara.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-135,
Sunnyvale,Santa Clara,California,"155,805",,portal_url,https://sunnyvale.dynamics365portals.us/public-records/,Public Records portal,Manual,1/28/2026,Fulfilled,SR-00124541,
Santa Clara County,Santa Clara County,California,"1,936,259",,email,CPRA@prc.sccgov.org,County PRR page,Manual,1/28/2026,Fulfilled,Email,
Milpitas,Santa Clara,California,"79,457",,Portal,https://city-of-milpitas-ca.nextrequest.com/,NextRequest portal,Manual,1/28/2026,Sent,Request 26-42,
Santa Cruz,Santa Cruz,California,"62,956",Fulfilled,portal_url,https://www.santacruzca.gov/Government/City-Departments/City-Clerk/Public-Records-Request,City PRR page,Manual,1/28/2026,Fulfilled,CustomPortal,
Watsonville,Santa Cruz,California,"52,590",Pending,portal_url,https://cityofwatsonvilleca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request #26-61,
Redding,Shasta,California,"93,611",Pending,portal_url,https://cityofredding.justfoia.com/publicportal,JustFOIA portal,Manual,1/28/2026,Fulfilled,PRR-2026-43. and your security key is 551262A6,
Shasta County,Shasta County,California,"182,155",Pending,portal_url,https://shastacountyca.nextrequest.com/requests/new,County NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-149,
Siskiyou County,Siskiyou County,California,"44,076",Pending,email,https://siskiyoucountyca.govqa.us/WEBAPP/_rs/(S(gjgnfpiowzsrvfhm5ecqzv52))/supporthome.aspx,County Clerk email,Manual,1/28/2026,Fulfilled,""" C003521-012826""",
Benicia,Solano,California,"27,131",Pending,portal_url,https://beniciaca.justfoia.com/publicportal,JustFOIA portal,Manual,1/28/2026,Sent,PR-2026-26 and your security key is 4298E133.,
Fairfield,Solano,California,"119,881",Fulfilled,portal_url,https://cityoffairfield-ca.nextrequest.com/,City PRR page,Manual,1/28/2026,Fulfilled,Request #26-23,
Suisun City,Solano,California,"29,518",Fulfilled,portal,https://suisuncityca.govqa.us/WEBAPP/_rs/(S(c3mjlkw1qwc5nzjmud3sbofh))/supporthome.aspx,City Clerk email,Manual,1/28/2026,Fulfilled,R000110-012826,
Vacaville,Solano,California,"102,386",Pending,portal,https://vacavilleca.govqa.us/WEBAPP/_rs/(S(i5khfr5luezufxixybqyhd0a))/supporthome.aspx,City Clerk email,Manual,1/28/2026,Sent,C000037-012826,
Vallejo,Solano,California,"126,090",Pending,portal_url,https://cityofvallejo.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-117,
Solano County,Solano County,California,"453,491",Pending,email,building@solanocounty.gov,County contact email,Manual,1/28/2026,Sent,Email,
Petaluma,Sonoma,California,"60,438",,portal_url,https://cityofpetalumaca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-63,
Rohnert Park,Sonoma,California,"44,390",,portal_url,https://cityofrohnertpark.justfoia.com/publicportal,JustFOIA portal,Manual,1/28/2026,Sent,8902E173. request reference number is PR-2026-20.,
Santa Rosa,Sonoma,California,"178,127",,portal_url,https://cityofsantarosaca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-155,
Windsor,Sonoma,California,"26,801",,portal_url,https://townofwindsorca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-14,
Sonoma County,Sonoma County,California,"488,863",,email,PRMD-Enforcement@sonomacounty.gov,County CPRA email,Manual,1/28/2026,Sent,Email,
Modesto,Stanislaus,California,"218,464",Sent,portal_url,https://cityofmodestoca.nextrequest.com/requests/new,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-89,
Turlock,Stanislaus,California,"72,740",,portal_url,https://cityofturlockca.nextrequest.com/,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-63,
Stanislaus County,Stanislaus County,California,"552,999",,portal_url,https://www.stancounty.com/board/public_records_request.shtm,County PRR page,Manual,1/28/2026,Sent,Email,
Yuba City,Sutter,California,"28,010",,portal_url,https://yubacity.nextrequest.com/,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-30,
Sutter County,Sutter County,California,"99,633",,portal_url,https://suttercountyca.nextrequest.com/,County records portal,Manual,1/28/2026,Fulfilled,Request 26-49,
Tehama County,Tehama County,California,"65,084",,email,clerk@tehama.us,County Clerk email,Manual,1/28/2026,Sent,KCurl@tehama.gov - CWeston@tehama.gov,
Porterville,Tulare,California,"62,544",Sent,pdf_form,https://www.porterville.com/home/showpublisheddocument/10867/637714952385730000,City PRR PDF,PDF Form,1/28/2026,Sent,PDF + Email,
Tulare,Tulare,California,"68,405",,portal,https://www.tulare.ca.gov/government/departments/administration/city-clerk-s-office/public-records-information/submit-public-records-request,City online form,Manual,1/28/2026,Sent,CustomPortal,
Visalia,Tulare,California,"134,605",Sent,email,cityclerk@visalia.gov,City Clerk portal,Manual,1/28/2026,Sent,Email,
Tulare County,Tulare County,California,"473,117",,portal,https://countyoftulareca.nextrequest.com/,County CPRA email,Manual,1/28/2026,Fulfilled,Request #26-65,
Camarillo,Ventura,California,"70,741",,portal,https://camarilloca.govqa.us/WEBAPP/_rs/SupportHome.aspx,GovQA portal,Manual,1/28/2026,Fulfilled,R002243-012826,
Moorpark,Ventura,California,"36,284",,email,cityclerk@moorparkca.gov,City Clerk email,Manual,1/28/2026,Sent,Email,
Oxnard,Ventura,California,"202,063",,portal,https://oxnard.nextrequest.com/,GovQA portal,Manual,1/28/2026,Fulfilled,Request 26-108,
Santa Paula,Ventura,California,"30,657",Sent,portal,https://santapaula.justfoia.com/Requests/NewRequest,JustFOIA portal,Manual,1/28/2026,Sent,51C8EEF2. request reference number is 22-2026.,
Simi Valley,Ventura,California,"126,356",,portal,https://www.simivalley.org/departments/city-manager-s-office/city-clerk/public-records-request,Public records email,Manual,1/28/2026,Fulfilled,CustomPortal,
Thousand Oaks,Ventura,California,"126,966",,email,cityclerk@toaks.gov,Public records email,Manual,1/28/2026,Fulfilled,Email,
Ventura,Ventura,California,"110,763",,portal,https://cityofventura-ca.nextrequest.com/,City PRA page,Manual,1/28/2026,Fulfilled,Request 26-97,
Davis,Yolo,California,"66,850",,portal,https://cityofdavisca.nextrequest.com/,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-60,
Woodland,Yolo,California,"61,032",Sent,pdf_form,https://www.cityofwoodland.gov/DocumentCenter/View/1687/Public-Record-Request-Form-PDF,City PRR PDF,PDF Form,1/28/2026,Fulfilled,PDF + Email,
Yolo County,Yolo County,California,"216,403",,email,pio@YoloCounty.gov,County Clerk email,Manual,1/28/2026,Sent,Email,
Yuba County,Yuba,California,"158,406",,portal,https://yubacountyca-energovweb.tylerhost.net/apps/SelfService#/search,County NextRequest portal,Scraped,1/28/2026,Fulfilled,Data can be downloaded through the link,
Montclair,San Bernardino,California,"38,650",,Portal,https://cityofmontclairca.nextrequest.com/,NextRequest portal,Manual,1/28/2026,Fulfilled,Request 26-29,
Rancho Cucamonga,San Bernardino,California,"177,603",,Portal,https://ranchocucamongaca.mycusthelp.com/WEBAPP/_rs/(S(3cxvpahm2maarjcwmylbiycr))/SupportHome.aspx,City CPRA landing page (submission links inside),Manual,1/28/2026,Sent,R011229-012826,
Redlands,San Bernardino,California,"73,168",,Portal,https://cityofredlandsca.nextrequest.com/requests/new,Direct NextRequest submission page,Manual,1/28/2026,Fulfilled,Request #26-87,
Rialto,San Bernardino,California,"104,026",,Portal,https://www.rialtoca.gov/181/Public-Records-Requests,City CPRA request page,Manual,1/28/2026,Fulfilled,P007688-012826,
Upland,San Bernardino,California,"79,328",,portal_url,uplandcityclerk@uplandca.gov,City public records request page,Manual,1/28/2026,Fulfilled,Email,
Sacramento,Sacramento,California,"524,943",,Portal,http://www.citizenserve.com/Sacramento/,Direct NextRequest submission page,Scraped,1/28/2026,Fulfilled,Request 26-345,
Denver,Denver County,Colorado,"729,000",,Online Portal,https://www.denvergov.org/cora,City & County combined,Manual,1/28/2026,Sent,Sent,
Colorado Springs,El Paso County,Colorado,"493,000",,Online Portal,https://coloradosprings.gov/city-communications/page/colorado-open-records-act-cora,Strong code enforcement,Manual,1/28/2026,Sent,Sent,
Aurora,Adams County; Arapahoe County,Colorado,403000,,Online Portal,https://auroragov.org/CORA,Spans 2 counties,Manual,1/28/2026,Sent,Sent,
Fort Collins,Larimer County,Colorado,170000,,Email + Portal,cityclerk@fcgov.com,Clean exports,Manual,1/28/2026,Sent,Sent,
Lakewood,Jefferson County,Colorado,156000,,Portal,https://www.lakewood.org/OpenRecords,Good housing cases,Manual,1/28/2026,Fulfilled,Sent,
Thornton,Adams County; Weld County,Colorado,146000,,Email,cityclerk@cityofthornton.net,Multi-county city,Manual,1/28/2026,Fulfilled,Sent,
Arvada,Jefferson County; Adams County,Colorado,121000,,Portal,https://arvada.org/openrecords,Nuisance cases,Manual,1/28/2026,Sent,Sent,
Westminster,Adams County; Jefferson County,Colorado,115000,,Portal,https://www.cityofwestminster.us/CORA,Monthly exports possible,Manual,1/28/2026,Fulfilled,Sent,
Greeley,Weld County,Colorado,114000,,Email,cityclerk@greeleygov.com,Rental violations,Manual,1/28/2026,Fulfilled,Sent,
Pueblo,Pueblo County,Colorado,111000,,Email,cityclerk@pueblo.us,Historic records available,Manual,1/28/2026,Fulfilled,Sent,
Centennial,Arapahoe County,Colorado,108000,,Email,records@centennialco.gov,HOA complaints,Manual,1/28/2026,Fee Qoute,"$1,199.73 ",
Boulder,Boulder County,Colorado,106000,,Portal,https://bouldercolorado.gov/services/open-records-requests,Detailed case notes,Manual,1/28/2026,Fulfilled,Sent,
Longmont,Boulder County; Weld County,Colorado,99000,,Email,city.clerk@longmontcolorado.gov,Zoning cases,Manual,1/28/2026,Sent,Sent,
Castle Rock,Douglas County,Colorado,83000,,Portal,https://www.crgov.com/CORA,High foreclosure signals,Manual,1/28/2026,Denied,No Records,
Loveland,Larimer County,Colorado,81000,,Email,clerks@cityofloveland.org,Weed/trash violations,Manual,1/28/2026,Sent,Sent,
Broomfield,Broomfield County,Colorado,78000,,Portal,https://www.broomfield.org/openrecords,City & County unified,Manual,1/28/2026,Denied,No Records,
Grand Junction,Mesa County,Colorado,70000,,Email,cityclerk@gjcity.org,Maintenance dataset,Manual,1/28/2026,Fulfilled,Sent,
Commerce City,Adams County,Colorado,70000,,Email,cityclerk@c3gov.com,Rental inspection data,Manual,1/28/2026,Sent,Sent,
Parker,Douglas County,Colorado,65000,,Email,townclerk@parkeronline.org,Fast response,Manual,1/28/2026,Sent,Sent,
Littleton,Arapahoe County; Jefferson County; Douglas County,Colorado,45000,,Portal,https://www.littletongov.org/cora,Spans 3 counties,Manual,1/28/2026,Sent,Sent,
Brighton,Adams County; Weld County,Colorado,43000,,Email,cityclerk@brightonco.gov,Abatement records,Manual,1/28/2026,Denied,Confidential,
Windsor,Weld County; Larimer County,Colorado,41000,,Email,townclerk@windsorgov.com,Growing city,Manual,1/28/2026,Sent,Sent,
Erie,Boulder County; Weld County,Colorado,38000,,Email,clerk@erieco.gov,Development violations,Manual,1/28/2026,Sent,Sent,
Northglenn,Adams County,Colorado,38000,,Email,cityclerk@northglenn.org,Clean dataset,Manual,1/28/2026,Fulfilled,Sent,
Englewood,Arapahoe County,Colorado,35000,,Email,cityclerk@englewoodco.gov,Code enforcement available,Manual,1/28/2026,Fulfilled,Sent,
Adams County,Adams County,Colorado,527000,,Portal,https://adcogov.org/open-records-request,Environmental health & junk vehicle cases,Manual,1/28/2026,Sent,Sent,
Arapahoe County,Arapahoe County,Colorado,662000,,Portal,https://www.arapahoegov.com/openrecords,Large suburban distress inventory,Manual,1/28/2026,Sent,Sent,
Boulder County,Boulder County,Colorado,330000,,Portal,https://aca-prod.accela.com/BOCO/Cap/CapHome.aspx?module=Code&TabName=Code,Septic failures & rural cases,Scraped,1/28/2026,Fulfilled,Sent,
Broomfield County,Broomfield County,Colorado,78000,,Email,clerk@broomfield.org,Combined city-county jurisdiction,Manual,1/28/2026,Denied,No records,
Denver County,Denver County,Colorado,729000,,Portal,https://www.denvergov.org/cora,Unified jurisdiction,Manual,1/28/2026,Sent,Sent,
Douglas County,Douglas County,Colorado,372000,,Portal,https://www.douglas.co.us/open-records-request,Zoning & unsafe structures,Manual,1/28/2026,Fee Qoute,$400.00 ,
El Paso County,El Paso County,Colorado,754000,,Portal,https://admin.elpasoco.com/records/,Rural nuisance & sheriff abatement,Manual,1/28/2026,Fulfilled,Sent,
Jefferson County,Jefferson County,Colorado,584000,,Portal,https://www.jeffco.us/openrecords,Junk & abandoned structures,Manual,1/28/2026,Sent,Sent,
Larimer County,Larimer County,Colorado,366000,,Portal,https://www.larimer.gov/cora,Health condemnations,Manual,1/28/2026,Sent,Sent,
Mesa County,Mesa County,Colorado,158000,,Email,cora@mesacounty.us,Mobile homes & unsafe dwellings,Manual,1/28/2026,Sent,Sent,
Pueblo County,Pueblo County,Colorado,168000,,Email,cora@pueblocounty.us,Dangerous buildings,Manual,1/28/2026,Sent,Sent,
Weld County,Weld County,Colorado,364000,,Portal,http://www.weld.gov/,Agricultural nuisance & abandoned property,Scraped,1/28/2026,Fulfilled,Sent,
Norwich,New London,Connecticut,"40,125",,email,rmuscarella@cityofnorwich.org,FOI accepted by Town Clerk email.,Manual,1/28/2026,Fulfilled,Email,
Groton,New London,Connecticut,"38,411",,email,townclerk@groton-ct.gov,FOI accepted by Town Clerk email.,PDF Form,1/28/2026,Denied,No Records within the past 30 days,
New London,New London,Connecticut,"27,367",,email,jayala@newlondonct.gov,FOI accepted by City Clerk email.,Manual,1/28/2026,Fulfilled,Email,
Middletown,Middlesex,Connecticut,"47,717",Fulfilled,email,https://middletownct.justfoia.com/publicportal/home/track,FOI accepted by City Clerk email.,Manual,1/28/2026,Fulfilled,CH-2026-34. Security Key is: 942B005E.,
Vernon,Tolland,Connecticut,"30,061",,email,townclerk@vernon-ct.gov,Checked for city-owned submission portal; none exists. FOI accepted by Town Clerk email.,Manual,1/28/2026,Fulfilled,Email,
Dover,Kent,Delaware,"37,589",,Portal,https://doverde.justfoia.com/publicportal/home/newrequest,Dover FOIA portal (JustFOIA),Manual,1/28/2026,Fulfilled,2026-40.,
Harrington,Kent,Delaware,"25,054",,Portal,https://harrington.delaware.gov/foia-request/,City of Harrington FOIA request page,Manual,1/28/2026,Fulfilled,CustomPortal,
Smyrna,Kent,Delaware,"27,948",,Portal,https://smyrna.seamlessdocs.com/f/foia,Online FOIA request form,Manual,1/28/2026,Fulfilled,CustomPortal,
Kent County,Kent County,Delaware,"181,851",,Portal,https://kentcountyde.govqa.us/WEBAPP/_rs/(S(c54nelpqk4kxafn2yjsz1mdr))/RequestLogin.aspx?sSessionID=&rqst=1&target=YpURA3m6cNU+N1K9kEqQhqz8yC2ZLKNdSdB4wnowVJ5S8CGTBp2GIItHg4/I0pUMVtKVBt74dC4B8Fg0Spu/B2ptZsIOVvBQmH6sfbSBBNe6tQ7pv+SFdJYoVQ1A0LAt,Kent County FOIA portal,Manual,1/28/2026,Fulfilled,R000299-012826,
Middletown,New Castle,Delaware,"25,022",,Email,foia@middletown.delaware.gov,City of Middletown FOIA email,Manual,1/28/2026,Fulfilled,CustomPortal,
Newark,New Castle,Delaware,"30,601",Fulfilled,Email,https://app.signnow.com/webapp/document/afe82ef8cf734ee3ae96e32cc30cecd505640d5b?dispatched=true&mobileweb=app_or_mobileweb_choice&redirect_uri=https%253A%252F%252Fapp.signnow.com%252Fhtml%252Fthanks-for-signing%253Fdocument_id%253Dafe82ef8cf734ee3ae96e32cc30cecd505640d5b%2526access_token%253Db71948062abb17ef1cc7884a937b1c46a9fd355eac06c68f814f871954e1bdd5&sign=1&source=link,City of Newark FOIA email,PDF Form,1/28/2026,Denied,Citizen Restriction,
Wilmington,New Castle,Delaware,"70,898",,Email,https://wilmingtonde.govqa.us/WEBAPP/_rs/(S(ipznkzjmi2hcgmrpucnsi1yr))/supporthome.aspx,City Clerk Ã¢â‚¬â€œ FOIA contact,Manual,1/28/2026,Sent,R000161-012826,
Gainesville,Alachua,Florida,"141,085",,portal_url,https://gainesvillefl.justfoia.com/publicportal,JustFOIA portal,Manual,1/28/2026,Fulfilled,4362A1E8. request reference number is 177-2026.,
Alachua County,Alachua County,Florida,"278,468",,portal_url,https://alachuacounty.justfoia.com/publicportal,County portal,Manual,1/28/2026,Fulfilled,PRR-2026-93. security key is DFBAE336.,
Panama City,Bay,Florida,"32,939",,email,publicrecords@panamacity.gov,City Clerk email,Manual,1/28/2026,Fulfilled,Email,
Broward County,Broward,Florida,"1,944,375",Sent,portal_url,https://browardcounty.govqa.us/WEBAPP/_rs/,County GovQA portal,Manual,1/28/2026,Fulfilled,R000289-012826,
Charlotte County,Charlotte,Florida,"186,847",,pdf_form,Records@CharlotteCountyFL.gov,County PR instructions,Manual,1/28/2026,Sent,Email,
