County,City,State,Population,Status,Submission Method,Contact Value,Notes,Method,Date,Status,Notes,
Lowell,Benton,Arkansas,"9,839",,portal,https://www.chinovalleyaz.gov/347/Forms,Use Benton County FOIA portal if no dedicated City portal; FOIA email: foia@bentoncountyar.gov,Manual,2/4/2026,Sent,Submitted(CustomPortal),
Pea Ridge,Benton,Arkansas,"6,559",,email,https://www.clarkdale.az.gov/DocumentCenter/View/555/Public-Records-Request---Commercial-PDF,Submit PRR to City Clerk,Manual,2/4/2026,Sent,clerk@cityofpearidge.com,
Rogers,Benton,Arkansas,"69,908",,portal,https://cottonwoodaz.govqa.us/WEBAPP/_rs/,Use Benton County FOIA portal,Manual,2/4/2026,Sent,Submitted(CustomPortal),
Siloam Springs,Benton,Arkansas,"17,287",,email,https://www.townofdeweyhumboldt.org/FormCenter/Town-Manager-7/Public-Records-Request-Form-83,Records request email,Manual,2/4/2026,Sent,records@siloamsprings.com,
Sulphur Springs,Benton,Arkansas,481,,portal,b.klein@jerome.az.gov,Use Benton County FOIA portal,Manual,2/4/2026,Sent,Submitted(CustomPortal),
Benton County,Benton,Arkansas,"284,333",,portal,https://prescott.nextrequest.com/requests/new,County FOIA portal,Manual,2/4/2026,Sent,Submitted(CustomPortal),
Bellefonte,Boone,Arkansas,411,,email,https://prescottvalleyaz.justfoia.com/publicportal,County Clerk fallback,Manual,2/4/2026,Sent,booneclerk@arkansasclerks.com,
Bergman,Boone,Arkansas,426,,email,https://sedonaaz.nextrequest.com/requests/new,County Clerk fallback,Manual,2/4/2026,Sent,,
Diamond City,Boone,Arkansas,757,,email,abrown@wickenburgaz.gov,County Clerk fallback,Manual,2/4/2026,Sent,,
Everton,Boone,Arkansas,104,,email,publicrecords@yavapaiaz.gov,County Clerk fallback,Manual,2/4/2026,Sent,,
Harrison,Boone,Arkansas,"13,069",,email,https://cms2.revize.com/revize/somertonaz/Public_Records_Request2020.pdf,County Clerk fallback,Manual,2/4/2026,Sent,,
Lead Hill,Boone,Arkansas,274,,email,https://www.welltonaz.gov/1241/Records-Request,County Clerk fallback,Manual,2/4/2026,Sent,,
Omaha,Boone,Arkansas,128,,email,https://www.yumaaz.gov/government/city-clerk-s-office/city-records,County Clerk fallback,Manual,2/4/2026,Sent,,
South Lead Hill,Boone,Arkansas,86,,email,https://www.yumacountyaz.gov/government/county-administrator/reports-permits-and-forms,County Clerk fallback,Manual,2/4/2026,Sent,,
Valley Springs,Boone,Arkansas,183,,email,https://www.chandleraz.gov/government/departments/city-clerks-office/public-records-request,County Clerk fallback,Manual,2/4/2026,Sent,,
Boone County,Boone,Arkansas,"37,067",,email,PublicRecordsRequests@peoriaaz.gov,County Clerk,Manual,2/4/2026,Sent,,
Alpena,Boone;Carroll,Arkansas,374,,email,https://surpriseaz.gov/1148/Public-Records-Requests,Copy Boone County Clerk also,Manual,2/4/2026,Sent,carrollclerk@arkansasclerks.com,
Banks,Bradley,Arkansas,87,,email,https://tempe.justfoia.com/publicportal/home/newrequest,County Clerk,Manual,2/4/2026,Sent,bradleyclerk@arkansasclerks.com,
Warren,Bradley,Arkansas,5453,,email,arkansasclerk@arkansasclerks.com,County Clerk,Manual,2/4/2026,Sent,,
Hampton,Calhoun,Arkansas,1181,,email,arkansasclerk@arkansasclerks.com,County Clerk,Manual,2/4/2026,Sent,calhounclerk@arkansasclerks.com,
Harrell,Calhoun,Arkansas,210,,email,arkansasclerk@arkansasclerks.com,County Clerk,Manual,2/4/2026,Sent,,
Thornton,Calhoun,Arkansas,339,,email,clerk1@stuttgartar.com,County Clerk,Manual,2/4/2026,Sent,,
Tinsman,Calhoun,Arkansas,50,,email,clerk@cityofhumphrey.com,County Clerk,Manual,2/4/2026,Sent,,
Beaver,Carroll,Arkansas,67,,email,cwterrell@windstream.net,County Clerk,Manual,2/4/2026,Sent,carrollclerk@arkansasclerks.com,
Berryville,Carroll,Arkansas,5682,,portal,ashleycoclerk@sbcglobal.net,City FOIA portal,Manual,2/4/2026,Sent,dean@berryvillear.gov,
Blue Eye,Carroll,Arkansas,46,,email,mcarpenter@cityofhamburg.com,County Clerk,Manual,2/5/2026,Sent,carrollclerk@arkansasclerks.com,
Eureka Springs,Carroll,Arkansas,2166,,portal,ashleycoclerk@sbcglobal.net,Online FOIA request form (city).,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Green Forest,Carroll,Arkansas,2972,,email,ashleycoclerk@sbcglobal.net,City site lists phone/fax but no public-records portal/email; submitting via Carroll County Clerk email.,Manual,2/5/2026,Sent,carrollclerk@arkansasclerks.com,
Oak Grove,Carroll,Arkansas,386,,email,ashleycoclerk@sbcglobal.net,City office email listed on town services page.,Manual,2/5/2026,Sent,townofoakgrove@gmail.com,
Carroll County,Carroll,Arkansas,28260,,email,ashleycoclerk@sbcglobal.net,County Clerk email (Arkansas SOS county clerks directory PDF).,Manual,2/5/2026,Sent,carrollclerk@arkansasclerks.com,
Dermott,Chicot,Arkansas,2021,,email,canda.reese@baxtercountyar.gov,Using county clerk email for FOIA/public records (city-specific portal/email not verified yet).,Manual,2/5/2026,Sent,chicotclerk@arkansasclerks.com,
Eudora,Chicot,Arkansas,1728,,email,canda.reese@baxtercountyar.gov,City Contact Us email.,Manual,2/5/2026,Sent,visitus@cityofeudora.org,
Lake Village,Chicot,Arkansas,2065,,email,canda.reese@baxtercountyar.gov,City elected-officials page did not list an email; using county clerk email.,Manual,2/5/2026,Sent,chicotclerk@arkansasclerks.com,
Chicot County,Chicot,Arkansas,10208,,email,canda.reese@baxtercountyar.gov,County Clerk email (Arkansas SOS county clerks directory PDF).,Manual,2/5/2026,Sent,chicotclerk@arkansasclerks.com,
Arkadelphia,Clark,Arkansas,10380,,email,canda.reese@baxtercountyar.gov,General city contact email shown on city contact page (city site).,Manual,2/5/2026,Sent,info@arkadelphia.gov,
Clark County,Clark,Arkansas,21446,,email,canda.reese@baxtercountyar.gov,County Clerk email (Arkansas SOS county clerks directory PDF).,Manual,2/5/2026,Sent,clarkclerk@arkansasclerks.com,
Clay County,Clay,Arkansas,14552,,email,canda.reese@baxtercountyar.gov,County Clerk email (Arkansas SOS county clerks directory PDF).,Manual,2/5/2026,Sent,clayclerk@arkansasclerks.com,
Cleburne County,Cleburne,Arkansas,24711,,email,foia@bentoncountyar.gov,County Clerk email (Arkansas SOS county clerks directory PDF).,Manual,2/5/2026,Sent,cleburneclerk@arkansasclerks.com,
Cleveland County,Cleveland,Arkansas,7550,,email,https://bellavista.justfoia.com/,County Clerk email (Arkansas SOS county clerks directory PDF).,Manual,2/5/2026,Sent,clevelandclerk@arkansasclerks.com,
Rison,Cleveland,Arkansas,967,,Email,foiarequest@bentonville.arkansas.gov,No verified city PRR portal/email found; using Cleveland County Clerk (FOIA/public records) email.,Manual,2/5/2026,Sent,,
Emerson,Columbia,Arkansas,293,,Email,foia@bentoncountyar.gov,No verified city PRR portal/email found; using Columbia County Clerk (FOIA/public records) email.,Manual,2/5/2026,Sent,columbiaclerk@arkansasclerks.com,
Magnolia,Columbia,Arkansas,11162,,Email,foia@bentoncountyar.gov,No verified city PRR portal/email found; using Columbia County Clerk (FOIA/public records) email.,Manual,2/5/2026,Sent,,
Taylor,Columbia,Arkansas,579,,Email,foia@bentoncountyar.gov,No verified city PRR portal/email found; using Columbia County Clerk (FOIA/public records) email.,Manual,2/5/2026,Sent,,
Waldo,Columbia,Arkansas,1151,,Email,foia@bentoncountyar.gov,No verified city PRR portal/email found; using Columbia County Clerk (FOIA/public records) email.,Manual,2/5/2026,Sent,,
Columbia County,Columbia,Arkansas,22801,,Email,foia@bentoncountyar.gov,County Clerk email (FOIA/public records contact).,Manual,2/5/2026,Sent,,
Menifee,Conway,Arkansas,302,,Email,https://bentoncountyar.gov/county-judge/foi/,No verified city PRR portal/email found; using Conway County Clerk (FOIA/public records) email.,Manual,2/5/2026,Sent,conwayclerk@arkansasclerks.com,
Morrilton,Conway,Arkansas,6824,,Email,https://bentoncountyar.gov/county-judge/foi/,No verified city PRR portal/email found; using Conway County Clerk (FOIA/public records) email.,Manual,2/5/2026,Sent,,
Plumerville,Conway,Arkansas,900,,Email,https://bentoncountyar.gov/county-judge/foi/,No verified city PRR portal/email found; using Conway County Clerk (FOIA/public records) email.,Manual,2/5/2026,Sent,,
Conway County,Conway,Arkansas,20430,,Email,https://bentoncountyar.gov/county-judge/foi/,County Clerk email (FOIA/public records contact).,Manual,2/5/2026,Sent,,
Bay,Craighead,Arkansas,1892,,Portal,https://bentoncountyar.gov/county-judge/foi/,Using Craighead County FOIA contact.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Black Oak,Craighead,Arkansas,262,,Portal,clerk@cityofpearidge.com,Using Craighead County FOIA contact.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Brookland,Craighead,Arkansas,4113,,Portal,https://bentoncountyar.gov/county-judge/foi/,Using Craighead County FOIA contact.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Caraway,Craighead,Arkansas,1132,,Portal,records@siloamsprings.com,Using Craighead County FOIA contact.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Cash,Craighead,Arkansas,289,,Portal,https://bentoncountyar.gov/county-judge/foi/,Using Craighead County FOIA contact.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Jonesboro,Craighead,Arkansas,78576,,Portal,https://bentoncountyar.gov/county-judge/foi/,Using Craighead County FOIA contact.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Lake City,Craighead,Arkansas,2326,,Portal,booneclerk@arkansasclerks.com,Using Craighead County FOIA contact.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Monette,Craighead,Arkansas,1506,,Portal,booneclerk@arkansasclerks.com,Using Craighead County FOIA contact.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Craighead County,Craighead,Arkansas,111231,,Portal,booneclerk@arkansasclerks.com,FOIA request forms available.,Manual,2/5/2026,Sent,Submitted(CustomPortal),
Alma,Crawford,Arkansas,5825,,Email,booneclerk@arkansasclerks.com,Using Crawford County Clerk.,Manual,2/5/2026,Sent,crawfordclerk@arkansasclerks.com,
Cedarville,Crawford,Arkansas,1410,,Email,booneclerk@arkansasclerks.com,Using Crawford County Clerk.,Manual,2/5/2026,Sent,,
Chester,Crawford,Arkansas,144,Sent,Email,booneclerk@arkansasclerks.com,Using Crawford County Clerk.,Manual,2/5/2026,Sent,,
Dyer,Crawford,Arkansas,772,,Email,booneclerk@arkansasclerks.com,Using Crawford County Clerk.,Manual,2/5/2026,Sent,,
Mulberry,Crawford,Arkansas,1543,,Email,booneclerk@arkansasclerks.com,Using Crawford County Clerk.,Manual,2/5/2026,Sent,,
Rudy,Crawford,Arkansas,130,,Email,booneclerk@arkansasclerks.com,Using Crawford County Clerk.,Manual,2/5/2026,Sent,,
Van Buren,Crawford,Arkansas,23218,,Email,booneclerk@arkansasclerks.com,Using Crawford County Clerk.,Manual,2/5/2026,Sent,,
Crawford County,Crawford,Arkansas,60133,,Email,carrollclerk@arkansasclerks.com,County Clerk email.,Manual,2/5/2026,Sent,,
Crawfordsville,Crittenden,Arkansas,462,,Email,bradleyclerk@arkansasclerks.com,Using Crittenden County Clerk.,Manual,2/5/2026,Sent,crittendenclerk@arkansasclerks.com,
Earle,Crittenden,Arkansas,1831,,Email,bradleyclerk@arkansasclerks.com,Using Crittenden County Clerk.,Manual,2/5/2026,Sent,,
Gilmore,Crittenden,Arkansas,176,,Email,calhounclerk@arkansasclerks.com,Using Crittenden County Clerk.,Manual,2/5/2026,Sent,,
Jennette,Crittenden,Arkansas,118,,Email,calhounclerk@arkansasclerks.com,Using Crittenden County Clerk.,Manual,2/5/2026,Sent,,
Crittenden County,Crittenden,Arkansas,48163,,Email,calhounclerk@arkansasclerks.com,County Clerk email.,Manual,2/5/2026,Sent,,
Jericho,Crittenden,Arkansas,71,,Email,calhounclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Crittenden County Clerk.,Manual,2/5/2026,Sent,,
Marion,Crittenden,Arkansas,12706,,Email,carrollclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Crittenden County Clerk.,Manual,2/5/2026,Sent,,
Turrell,Crittenden,Arkansas,517,,Email,https://berryvillear.gov/foia,No dedicated City public-records portal found; submit to Crittenden County Clerk.,Manual,2/5/2026,Sent,,
West Memphis,Crittenden,Arkansas,23793,,Email,carrollclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Crittenden County Clerk.,Manual,2/5/2026,Sent,,
Crittenden County,Crittenden,Arkansas,47599,,Email,https://www.eurekaspringsar.gov/freedom-information/page/foia-request-form,County Clerk contact (preferred for countywide records).,Manual,2/5/2026,Sent,,
Cherry Valley,Cross,Arkansas,716,,Email,carrollclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Cross County Clerk.,Manual,2/5/2026,Sent,crossclerk@arkansasclerks.com,
Parkin,Cross,Arkansas,794,,Email,townofoakgrove@gmail.com,No dedicated City public-records portal found; submit to Cross County Clerk.,Manual,2/5/2026,Sent,,
Wynne,Cross,Arkansas,8150,,Email,carrollclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Cross County Clerk.,Manual,2/5/2026,Sent,,
Cross County,Cross,Arkansas,16972,,Email,chicotclerk@arkansasclerks.com,County Clerk contact (preferred for countywide records).,Manual,2/5/2026,Sent,,
Carthage,Dallas,Arkansas,343,,Email,visitus@cityofeudora.org,No dedicated Town public-records portal found; submit to Dallas County Clerk.,Manual,2/5/2026,Sent,dallasclerk@arkansasclerks.com,
Fordyce,Dallas,Arkansas,3371,,Email,chicotclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Dallas County Clerk.,Manual,2/5/2026,Sent,,
Sparkman,Dallas,Arkansas,355,,Email,chicotclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Dallas County Clerk.,Manual,2/5/2026,Sent,,
Dallas County,Dallas,Arkansas,8020,,Email,info@arkadelphia.gov,County Clerk contact (preferred for countywide records).,Manual,2/5/2026,Sent,,
Arkansas City,Desha,Arkansas,376,,Email,clarkclerk@arkansasclerks.com,No dedicated Town public-records portal found; submit to Desha County Clerk.,Manual,2/5/2026,Sent,deshaclerk@arkansasclerks.com,
Dumas,Desha,Arkansas,4001,,Email,clayclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Desha County Clerk.,Manual,2/5/2026,Sent,,
McGehee,Desha,Arkansas,3849,Sent,Email,cleburneclerk@arkansasclerks.com,City listed as Sent in your sheet; using Desha County Clerk as official contact fallback.,Manual,2/5/2026,Sent,,
Mitchellville,Desha,Arkansas,293,,Email,clevelandclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Desha County Clerk.,Manual,2/5/2026,Sent,,
Reed,Desha,Arkansas,130,,Email,clevelandclerk@arkansasclerks.com,No dedicated Town public-records portal found; submit to Desha County Clerk.,Manual,2/5/2026,Sent,,
Tillar,Desha;Drew,Arkansas,172,,Email,clevelandclerk@arkansasclerks.com,Town spans Desha & Drew; route to Drew County Clerk.,Manual,2/5/2026,Sent,drewclerk@arkansasclerks.com,
Desha County,Desha,Arkansas,11174,,Email,columbiaclerk@arkansasclerks.com,County Clerk contact (preferred for countywide records).,Manual,2/5/2026,Sent,deshaclerk@arkansasclerks.com,
Monticello,Drew,Arkansas,8442,,Email,columbiaclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Drew County Clerk.,Manual,2/5/2026,Sent,drewclerk@arkansasclerks.com,
Wilmar,Drew,Arkansas,395,,Email,columbiaclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Drew County Clerk.,Manual,2/5/2026,Sent,,
Winchester,Drew,Arkansas,137,,Email,columbiaclerk@arkansasclerks.com,No dedicated Town public-records portal found; submit to Drew County Clerk.,Manual,2/5/2026,Sent,,
Drew County,Drew,Arkansas,17161,,Email,columbiaclerk@arkansasclerks.com,County Clerk contact (preferred for countywide records).,Manual,2/5/2026,Sent,,
Conway,Faulkner,Arkansas,64134,,Portal,conwayclerk@arkansasclerks.com,Official City FOIA portal.,Manual,2/5/2026,Denied,Needs to be a resident of Arkansas,
Greenbrier,Faulkner,Arkansas,5707,,Email,conwayclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Faulkner County Clerk.,Manual,2/5/2026,Sent,faulknerclerk@arkansasclerks.com,
Guy,Faulkner,Arkansas,752,,Email,conwayclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Faulkner County Clerk.,Manual,2/5/2026,Sent,,
Mayflower,Faulkner,Arkansas,1984,,Email,conwayclerk@arkansasclerks.com,No dedicated City public-records portal found; submit to Faulkner County Clerk.,Manual,2/5/2026,Sent,,
Vilonia,Faulkner,Arkansas,4288,,Email,https://craigheadcountyar.gov/transparency,No dedicated City public-records portal found; submit to Faulkner County Clerk.,Manual,2/5/2026,Sent,,
Wooster,Faulkner,Arkansas,1042,,Email,https://craigheadcountyar.gov/transparency,No dedicated City public-records portal found; submit to Faulkner County Clerk.,Manual,2/5/2026,Sent,,
Faulkner County,Faulkner,Arkansas,123498,,Email,https://craigheadcountyar.gov/transparency,Official county FOIA email.,Manual,2/5/2026,Sent,foi@faulknercountyar.gov,
Damascus,Faulkner;Van Buren,Arkansas,382,,Email,https://craigheadcountyar.gov/transparency,Town spans Faulkner & Van Buren; route to Faulkner County Clerk.,Manual,2/5/2026,Sent,faulknerclerk@arkansasclerks.com,
Altus,Franklin,Arkansas,665,,Email,https://craigheadcountyar.gov/transparency,No dedicated City public-records portal found; submit to Franklin County Clerk.,Manual,2/5/2026,Sent,franklinclerk@arkansasclerks.com,
Branch,Franklin,Arkansas,296,,Email,https://craigheadcountyar.gov/transparency,No dedicated City public-records portal found; submit to Franklin County Clerk.,Manual,2/5/2026,Sent,,
Franklin County,Franklin,Arkansas,17903,,Email,https://craigheadcountyar.gov/transparency,County Clerk contact (preferred for countywide records).,Manual,2/5/2026,Sent,,
Charleston,Franklin,Arkansas,2588,,email,https://craigheadcountyar.gov/transparency,City Hall email (use for FOIA/public records requests).,Manual,2/5/2026,Sent,cityhall@charlestonar.gov,
Denning,Franklin,Arkansas,200,,email,https://craigheadcountyar.gov/transparency,No verified city public-records portal/email found; submit to Franklin County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,franklinclerk@arkansasclerks.com,
Ozark,Franklin,Arkansas,3542,,portal,crawfordclerk@arkansasclerks.com,City Hall staff page includes 'Email City Clerk' links; use for public records requests.,Manual,2/5/2026,Sent,sstevens@ozarkar.gov,
Wiederkehr Village,Franklin,Arkansas,50,,email,crawfordclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Franklin County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,franklinclerk@arkansasclerks.com,
Elizabeth,Fulton,Arkansas,0,,email,crawfordclerk@arkansasclerks.com,Elizabeth is an unincorporated community; submit to Fulton County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,fultonclerk@arkansasclerks.com,
Mammoth Spring,Fulton,Arkansas,929,,email,crawfordclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Fulton County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Salem,Fulton,Arkansas,1566,,email,crawfordclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Fulton County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Viola,Fulton,Arkansas,358,,email,crawfordclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Fulton County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Fulton County,Fulton,Arkansas,12075,,email,crawfordclerk@arkansasclerks.com,County Clerk email from Arkansas Secretary of State county clerk directory.,Manual,2/5/2026,Sent,,
Lonsdale,Garland,Arkansas,103,,portal,crawfordclerk@arkansasclerks.com,No verified city public-records portal/email found; use Garland County NextRequest public records portal.,Manual,2/5/2026,Sent,,
Mountain Pine,Garland,Arkansas,585,,email,crittendenclerk@arkansasclerks.com,City 'Contact Us' page lists this email.,Manual,2/5/2026,Sent,soontobe@mountainpinear.com,
Garland County,Garland,Arkansas,100180,,portal,crittendenclerk@arkansasclerks.com,Garland County NextRequest public records portal.,Manual,2/5/2026,Sent,,
Leola,Grant,Arkansas,501,,email,crittendenclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Grant County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,grantclerk@arkansasclerks.com,
Poyen,Grant,Arkansas,290,,email,crittendenclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Grant County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Prattsville,Grant,Arkansas,282,,email,crittendenclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Grant County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Sheridan,Grant,Arkansas,4603,,email,crittendenclerk@arkansasclerks.com,Sheridan city site lists this email (used for permits; also suitable initial contact for records requests).,Manual,2/5/2026,Sent,sheridancityhall@windstream.net,
Tull,Grant,Arkansas,382,,email,crittendenclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Grant County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,grantclerk@arkansasclerks.com,
Grant County,Grant,Arkansas,19150,,email,crittendenclerk@arkansasclerks.com,County Clerk email from Arkansas Secretary of State county clerk directory.,Manual,2/5/2026,Sent,,
Delaplaine,Greene,Arkansas,116,,email,crittendenclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Greene County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,greeneclerk@arkansasclerks.com,
Lafe,Greene,Arkansas,458,,email,crittendenclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Greene County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Marmaduke,Greene,Arkansas,1096,,email,crossclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Greene County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Oak Grove Heights,Greene,Arkansas,971,,email,crossclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Greene County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Paragould,Greene,Arkansas,29537,,email,crossclerk@arkansasclerks.com,"If you need city-specific records, start with Greene County Clerk (county seat is Paragould).",Manual,2/5/2026,Sent,,
Greene County,Greene,Arkansas,45736,,email,crossclerk@arkansasclerks.com,County Clerk email from Arkansas Secretary of State county clerk directory.,Manual,2/5/2026,Sent,,
Blevins,Hempstead,Arkansas,288,,email,dallasclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Hempstead County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,hempsteadclerk@arkansasclerks.com,
Fulton,Hempstead,Arkansas,115,,email,dallasclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Hempstead County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Hope,Hempstead,Arkansas,8952,,email,dallasclerk@arkansasclerks.com,"If you need city-specific records, start with Hempstead County Clerk (county seat is Hope).",Manual,2/5/2026,Sent,,
McNab,Hempstead,Arkansas,30,,email,dallasclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Hempstead County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Ozan,Hempstead,Arkansas,54,,email,deshaclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Hempstead County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Patmos,Hempstead,Arkansas,57,,email,deshaclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Hempstead County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Washington,Hempstead,Arkansas,94,,email,deshaclerk@arkansasclerks.com,No verified city public-records portal/email found; submit to Hempstead County Clerk under Arkansas FOIA.,Manual,2/5/2026,Sent,,
Hempstead County,Hempstead,Arkansas,20065,,email,deshaclerk@arkansasclerks.com,County Clerk email from Arkansas Secretary of State county clerk directory.,Manual,2/5/2026,Sent,,
Donaldson,Hot Spring,Arkansas,275,,email,deshaclerk@arkansasclerks.com,No verified city PRR portal found; submit to Hot Spring County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,hotspringclerk@arkansasclerks.com,
Friendship,Hot Spring,Arkansas,158,,email,drewclerk@arkansasclerks.com,No verified city PRR portal found; submit to Hot Spring County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Malvern,Hot Spring,Arkansas,11046,,email,deshaclerk@arkansasclerks.com,City Clerk email (preferred).,Manual,2/5/2026,Sent,ktaber@malvernar.gov,
Rockport,Hot Spring,Arkansas,755,,email,drewclerk@arkansasclerks.com,No verified city PRR portal found; submit to Hot Spring County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,hotspringclerk@arkansasclerks.com,
Hot Spring County,Hot Spring,Arkansas,33040,,email,drewclerk@arkansasclerks.com,County Clerk email.,Manual,2/5/2026,Sent,,
Dierks,Howard,Arkansas,1113,,email,drewclerk@arkansasclerks.com,No verified city PRR portal found; submit to Howard County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,howardclerk@arkansasclerks.com,
Mineral Springs,Howard,Arkansas,1133,,email,drewclerk@arkansasclerks.com,No verified city PRR portal found; submit to Howard County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Nashville,Howard,Arkansas,4208,,email,https://conwayarkansas.justfoia.com/publicportal,City Clerk email (preferred).,Manual,2/5/2026,Sent,cityclerk@nashar.org,
Tollette,Howard,Arkansas,202,,email,faulknerclerk@arkansasclerks.com,No verified city PRR portal found; submit to Howard County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,howardclerk@arkansasclerks.com,
Batesville,Independence,Arkansas,10248,,email,faulknerclerk@arkansasclerks.com,City Clerk email (preferred).,Manual,2/5/2026,Sent,cityclerk@cityofbatesville.com,
Magness,Independence,Arkansas,202,,email,faulknerclerk@arkansasclerks.com,No verified city PRR portal found; submit to Independence County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,independenceclerk@arkansasclerks.com,
Newark,Independence,Arkansas,1107,,email,faulknerclerk@arkansasclerks.com,No verified city PRR portal found; submit to Independence County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Oil Trough,Independence,Arkansas,234,,email,faulknerclerk@arkansasclerks.com,No verified city PRR portal found; submit to Independence County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Pleasant Plains,Independence,Arkansas,340,,email,foi@faulknercountyar.gov,No verified city PRR portal found; submit to Independence County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Southside,Independence,Arkansas,8857,,email,faulknerclerk@arkansasclerks.com,No verified city PRR portal found; submit to Independence County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Franklin,Izard,Arkansas,169,,email,franklinclerk@arkansasclerks.com,No verified city PRR portal found; submit to Izard County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,izardclerk@arkansasclerks.com,
Horseshoe Bend,Izard,Arkansas,2105,,email,franklinclerk@arkansasclerks.com,No verified city PRR portal found; submit to Izard County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Melbourne,Izard,Arkansas,1848,,email,franklinclerk@arkansasclerks.com,No verified city PRR portal found; submit to Izard County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Mount Pleasant,Izard,Arkansas,367,,email,cityhall@charlestonar.gov,No verified city PRR portal found; submit to Izard County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
Oxford,Izard,Arkansas,579,,email,franklinclerk@arkansasclerks.com,No verified city PRR portal found; submit to Izard County Clerk (FOIA custodian) as fallback.,Manual,2/5/2026,Sent,,
